"children_youth_justice","adult_carers_isolated_18","adult_carers_isolated_all_ages","adult_carers_not_isolated","alcohol_rx_18","alcohol_rx_all_ages","alcohol_admissions_f","alchol_admissions_m","alcohol_admissions_p","children_leaving_care","depression","domestic_abuse","self_harm_female","self_harm_male","self_harm_persons","opiates","lt_health_problems","lt_unepmloyment","looked_after_children","marital_breakup","old_pople_alone","alone","self_reported_well_being","smi","social_care_mh","homeless","alcohol_rx","drug_rx_non_opiate","drug_rx_opiate","suicide_rate","unemployment"
34.2,36.7,39.6,3.48449578986694,6.36549127798373,1090.14,2136.05,1549.55,9.86296940054165,41.4085533507801,4.78664261711801,21.6449216405548,112.831619415784,81.0505910142812,95.3474736829565,9.00964423656975,16.3841838298971,0.443272844242553,69.5663696293106,12.792396067232,3.9734776988767,10.3920476363027,20.36,0.760530421216849,196.232339089482,12.4980077564681,35.30701754,35.4368932,9.297052154,6.91535818905147,6.9
30.6,35.8,44.9,1.36617735212524,3.24467121129745,683.55,1510.28,1055.86,3.73473301705865,19.7023260003152,5.97561448148483,21.6449216405548,139.187596981075,59.8225916646374,98.6641251663655,6.71857314906935,14.0025141279399,0.261633566978193,35.4641868005674,9.9382602285293,4.08596783296511,10.7649809839562,21.47,1.00715996438827,485.014140856729,2.85561547987197,38.68613139,30.37383178,8.347826087,9.74882568414402,4.9
33.5,47.5,45,3.12853553729544,6.89446371376821,1077.81,2025.59,1519.05,8.3417593528817,27.1717253039208,10.2986536107711,29.9772015850327,294.474635501276,219.312691800804,255.531817156113,12.1149843572055,23.9026732000986,0.535086378229628,56.3561710007246,12.9306820293626,5.71493297435294,12.9537899877581,20.86,0.749225812993861,826.152430352213,0.134237197127324,53.65296804,54.77707006,7.163886163,10.7563335919646,5.3
42.9,49.5,49.1,2.10021408633912,5.20311102680144,776.51,1560.85,1135.87,5.55119434787485,14.4104677637836,7.61373184491658,17.2552710308201,326.359703367858,118.106792295865,220.631764118741,8.4558607428058,16.0752431597128,0.113215142315627,41.7903565149725,10.0519670306407,5.87844237749813,13.2576760385229,22.36,0.80918448915938,174.184903974989,0.907017380053621,39.18918919,23.07692308,6.335616438,9.97631016044282,4.2
31,44,46.9,1.46984448097105,5.08913895562018,814.41,1615.17,1182.83,4.43189224418857,32.9719606446678,9.32733786649119,21.4049968908943,261.110944887216,191.183034369871,223.639077850769,11.809021300997,16.002768623118,0.615301786297998,67.2627997151223,11.9654249191633,4.92830149609153,11.9040223637211,22.24,1.09460604991722,158.8782172839,4.26043584110207,35.68627451,32.14285714,7.5,9.21754836922536,4.5
36.8,38.1,45.7,1.64930555555556,3.27690972222222,736.9,1441.65,1046.66,4.79203324473063,33.0486977026689,6.40678528014145,21.6449216405548,95.8736112262241,61.5710407584942,78.2072777487784,4.70851434666112,15.9713272154381,0.219983714638439,46.4468183929401,11.0415277258162,5.19354531359624,11.1688075460585,21.46,0.737663978689707,796.033159865902,5.02826446797214,49.48805461,60.60606061,10.12658228,7.68905177898205,4.2
28.3,37,37.3,2.56980280273315,8.13791234347703,1043.33,2080.02,1518.6,7.18625759507914,31.1729482212046,7.4774781393894,22.3660077905046,211.786624177638,146.836395706206,178.7569274206,13.4783242713997,18.4429357575871,1.35845146361737,63.9309616061994,10.7198172781739,4.52611174414999,12.4790035059152,19.38,1.127345552147,251.583032105578,8.2566786783691,33.83308346,32.44274809,5.503329416,10.0197957965898,8.7
45.7,45.9,48.5,2.62658286177723,9.61237166608298,1234.92,2550.89,1853.06,3.85932488992771,36.6194972666161,9.55143734473128,21.7236368813571,292.553935568137,247.231358865398,268.406718504217,14.4725944488097,20.232695319651,0.495405252384478,91.5487431665402,11.996782235109,4.27149979084806,11.9449758960961,21.49,1.21021181613151,152.320346613411,0.670391061452514,53.84615385,53.27102804,10.2244389,13.1261579368159,6.3
35.7,37.7,50.5,5.13917862674701,11.2811238148105,1385.96,2583.69,1951.66,9.50961606699312,74.9520655394806,13.5439272215116,21.7236368813571,671.745572539707,489.04062609345,578.902400574234,19.9501811594203,25.5735050857002,0.722888756747933,163.848701411888,16.3017677957823,6.99478109596985,17.7196288779356,23.27,1.44100276085412,665.154232637693,1.33267216264799,37.17391304,47.51381215,5.876865672,15.9931853975555,6.6
31.4,45,38.5,2.95056750646748,7.61181159251404,1050.81,1940.69,1464.37,6.03826352253226,25.612438605478,9.1116945066447,22.4798235258081,258.137604071379,195.892393926875,225.35119313526,15.361996388701,19.8395150043716,0.513716223158327,84.3703859945159,12.4459514814983,5.26568554328646,13.4947517782103,24.73,0.932163093870111,872.149938593525,1.94356163926495,34.31372549,34.86238532,5.196850394,10.9105418930429,6
29.2,35.3,49.4,1.73670750792015,7.72930264513913,867.19,1773.72,1296.51,4.64972969944819,34.3112026076514,8.14493651285228,14.8288708389827,404.699549968587,226.585081918542,313.526164915881,14.4658406416779,18.6096320800475,0.233643040163239,74.3409389832447,13.1590475699634,6.23206689814556,16.9645747970838,19.75,1.27195758822599,193.635569618167,1.89046878986802,28.96341463,30.76923077,9.987669544,11.956709518981,4.6
37.8,44.7,49,2.10638345047782,2.82698831511496,727.76,1513.59,1089.95,4.0510127531883,24.8597201505789,10.6128518321827,22.6886168163391,245.585730245927,145.76065742896,194.457603783532,4.7071328246593,12.275959542423,0.122024841688824,35.5138859293984,12.1602799104108,4.02490227305632,11.4982988272767,21.13,0.632895806141798,590.864019776966,2.87917737789203,40,43.22033898,10.71428571,7.91467618535944,3.1
41.6,47.5,50.3,3.30671517543319,8.535281905819,1134.66,2183.62,1617.29,3.86300826042478,24.6363461085285,8.87019456715857,22.665090957199,280.868170439559,168.534568830978,223.919764637738,14.2411561973583,17.3273334201037,0.724822282068079,60.6982440355049,11.8039293113833,4.40604290579548,11.4365000048514,23.09,0.951637244235426,616.867837655648,1.92589206250395,35.92870544,43.10118265,5.7178116,9.19286163401666,6.3
32.5,23.9,37.2,1.89263453105623,5.1469932643285,925.51,1931.06,1393.2,8.14189291443446,29.3278587996907,5.29967653960804,21.6449216405548,65.4577619759309,36.8910345281797,50.5511721773521,8.50562091032645,14.4215413781469,0.612301571042916,44.6583304449836,9.63784623558106,2.85145437770116,9.91145858625099,16.7,1.19946267280182,80.8788197401411,6.04747566935917,42.85714286,40.52953157,9.682080925,8.58261358089878,7.1
34.4,34.1,43,2.91146116241173,7.4828897338403,840.2,1582.42,1188.36,4.84154929577465,47.8058108450897,9.34144248059125,17.1376269004,418.219979805801,206.203173573836,311.497626509808,10.6038409025224,16.3036042857822,0.24811186867935,84.8797049698531,11.5821922593265,5.43789159547318,16.6481870562544,24.43,1.18892057341118,128.772508908955,3.19060280169848,46.65579119,40,10.77943615,14.3854798480029,5.6
29.1,46.2,48.8,2.04212597863754,9.56319609828444,1043.03,2113.08,1541.37,10.4088849046267,40.9774192852675,8.81963644552313,17.2552710308201,400.502270640979,180.565585359877,289.632401097635,15.4261435296353,16.7487868782021,0.333040562381436,72.7888368883042,10.6508452665929,4.84033485031541,14.7098712077438,21.16,0.948047328001865,171.324738253872,5.29883646821488,33.91521197,29.3078056,7.618343195,12.6511450257543,5
55,36,41.9,0.960749384519926,2.07762054402434,760.55,1479.65,1079.05,5.24793511643856,18.6978019695018,7.82550285479718,21.6449216405548,125.940539995718,77.0989099646445,101.470417015428,5.95574893176985,14.9722681905156,0.176925042756885,39.4731374911705,10.9756195590139,5.49014243232592,13.2937923217479,23,0.822062181626559,593.623236704662,4.43873379278122,40.09433962,36.95652174,8.724832215,7.54888668440925,4.1
30.8,39.5,45.1,0.985079885760509,2.25302905861597,662.37,1392.96,996.8,3.36128747496011,18.6500667257943,7.94260079585554,22.6886168163391,181.355159942324,73.0773574244884,126.300904320798,5.01084618497233,13.4435553937101,0.135404196914631,38.1290253060683,10.3825570264412,4.75609241120533,10.4695565444531,18.15,0.716708951459008,184.400079634725,1.93959545580493,46.42857143,45.85635359,11.37071651,7.19372826008122,3.1
26.2,46.5,45.7,2.38067307493255,4.76824665153157,947.82,1912.54,1391.59,9.69133000453926,24.617260216163,5.89659346360021,22.4798235258081,257.046359565751,124.522736024211,188.582848001047,9.81215766658826,18.8160596563277,0.365082637528777,71.5072796755211,12.3878730523541,5.27687474388745,13.2566589263762,23.92,1.0407099788364,792.901306059904,1.91792764182079,31.41025641,38.42105263,6.034482759,11.5531982109107,5.1
35.7,43.1,43.1,2.87601588302965,6.11694560928242,843.8,1724.56,1243.74,7.21826220337454,23.9923224568138,10.708294120054,22.665090957199,233.415865665425,118.915722707486,175.186437891543,11.6910731593698,17.9564923022578,0.409870603467429,65.4336067004013,13.514620061719,5.53919437087402,14.3411274064118,21.09,0.955153112828892,1064.42353691596,0.521773159119073,41.71597633,32.91925466,7.799442897,11.3025544697974,4.4
36.6,44.9,47.7,1.65444358760485,3.07675359216884,741.93,1516.86,1104.21,4.52580806815334,20.2955635401476,7.69966644044301,16.764297942372,294.12520818489,145.318741066733,217.331213238453,5.34556548497745,15.2970815022295,0.100568027606529,45.4770960807012,10.803608479573,4.91718305337538,11.500402965559,18.98,0.784739178932458,126.20564636413,2.72992706272757,36.91709845,33.14500942,6.858594412,8.38108463714082,3.5
33.2,40.9,43.9,2.74249876771088,9.39161623894872,764.4,1674.21,1183.8,6.40242412394311,21.7448029920849,6.68625767681437,21.6449216405548,103.014474135694,46.0381226450782,74.2097270176647,12.3782539401452,14.4464413764308,0.359483045844318,41.3151256849613,10.5596815110914,4.76033571357964,18.6078148020881,25.34,1.43372593899512,698.13334657201,0.647111660565788,47.2061657,45.1171875,6.184586108,9.97286013042584,5.8
41.6,41.6,43.6,1.07858463088173,2.57529898651056,745.31,1445.9,1072.71,4.43189224418857,15.9358539940282,8.60930637552747,21.4049968908943,193.176781671228,98.5222348740665,144.522717537216,5.47726064117054,14.3906187962151,0.141142040741082,47.8075619820847,11.8552115815095,4.65016658733936,10.721085197525,17.81,0.677273906715955,86.2238864800946,1.51157382562341,36.03603604,37.75510204,9.641255605,7.23700419494701,3.1
33.4,49.9,48.9,1.58134745513386,3.18944074460403,855.43,1687.67,1240.46,3.18996225211335,18.670400746816,8.70253164556962,5.51321588505666,279.215189660372,136.595657287507,206.900090232029,6.3907847177873,17.5158796845407,0.160813495997286,51.3436020537441,11.5430358703437,5.86443510059852,12.9642666374481,16.79,0.845961978893032,596.153671123408,0.602919592450716,39.94252874,34.7826087,8.544726302,10.5560515847736,3.6
47.6,46.7,46.8,1.87556614659485,4.46151706614847,901.17,1760.34,1298.2,3.95663876917646,27.1780160048316,8.01775587058649,5.51321588505666,286.836060825329,178.290028869742,232.532918374517,8.57608979195548,18.5053154049659,0.162273966896111,70.2098746791484,11.3473531437749,5.717333464118,12.8253779472529,12.6,0.847849588195304,874.257634680896,0.583694088707604,44.35643564,37.56613757,9.101516919,9.90666838463487,4
28.9,38.4,42.4,1.41061897689433,3.55141412291826,854.66,1638.79,1217.46,4.17642101320348,24.656235182551,7.95454295861731,20.8674043258163,310.472816599007,173.361081450176,241.661040489971,6.36266912613517,21.3640368758137,0.184796769752465,40.7776197249881,12.985721132543,6.52176404958046,13.2336196487796,17.51,0.801755000250102,2331.11826293987,1.04287466315148,28.42920354,27.65598651,7.599699022,16.1408227164353,4.1
51,52,49.2,2.87443738876526,5.05182371075495,1052.59,1972.17,1478.33,4.2725478627088,24.9396460565432,9.67063817821459,26.4596173982221,249.256418571515,161.149115745328,204.237812624049,6.93003394547134,23.6313473955756,0.502110696331387,67.8358372737974,12.2078832144251,6.09508922860432,13.9933398362543,18.08,0.91268455018478,443.581486392625,0.564028122704537,29.66023875,30.04552352,6.534653465,12.6363718802785,5.9
31.5,35.2,51.8,2.21036440629688,4.79671863428344,987.85,1958.25,1440.26,5.82449258565867,37.9569820869681,7.59591695366056,22.3660077905046,252.380180106729,155.681909391752,202.237972037351,8.30298358011892,17.7457723372034,0.413789479676149,77.2457881068123,11.1858830566771,4.98911383355539,13.0465018035291,21.97,0.963413974269452,654.754766758604,4.10620403434546,37.12296984,33.09608541,4.929577465,8.34980072255311,5.4
27.3,41.4,42.1,1.64616306531778,4.1665197927315,722.68,1398.15,1028.56,9.24039236127565,45.0672790093783,5.5520751256184,21.6449216405548,144.282953319699,59.3231125497194,101.5800753368,8.12594412011011,14.6164599948263,0.408320806078089,85.8424362083396,11.6172062982819,3.91610915248591,11.9487549621075,18.54,1.09315198796786,421.57433404095,6.51731688671789,31.73333333,32.25806452,5.946791862,8.03865489210045,5.5
40,39.6,48.9,2.75840931729369,5.0125932755122,943.6,1814.51,1349.66,5.16823119924059,25.3150921038457,9.61355664762412,16.9710314589077,264.32559347616,172.679537984687,217.446693659776,8.89502637064123,20.3499793941479,0.358714605995184,71.0977054831412,11.5335563780295,6.59919053079914,14.6128134045167,17.69,0.960297593133901,430.808421368098,0.636024800519494,47.72727273,52.25806452,11.35458167,12.9526412344506,4
37.3,47.6,47.1,3.44756674368249,7.05239091777856,947.62,1977.84,1426.58,8.39109813936519,37.5657400450789,9.4233341939118,26.4596173982221,271.169889581663,154.56993850013,212.03377087724,12.1405654551206,19.6307453298473,0.694294442558706,90.5997259910726,13.5595206017081,5.88218343882971,14.5047113177282,20.09,1.01392871773863,460.397847243169,0.40215895861996,36.70886076,30.23255814,2.830188679,13.055294663074,6.3
33.8,36.9,48.1,2.93643393281233,7.62957658683344,845.62,1699.97,1238.56,9.27265309150254,29.7356079657446,7.87754244214558,22.0280727310811,302.958813278727,200.281192001273,249.779935410325,14.2235372838385,18.6756287386634,0.261519302615193,76.4629919119146,11.6495688523597,5.08206438426162,12.9087378640777,20.84,0.897928055760269,675.443097166386,3.57021099284064,39.55823293,41.25,7.027027027,9.82054465679957,4.6
34.9,44.7,47.8,1.32314448162459,3.84798540066669,864.78,1637.15,1220.37,2.90484698140127,19.5596471439655,9.5951793774138,22.0280727310811,286.518212307539,169.780245244192,227.631832376666,8.17413350747762,20.4022159685898,0.267052156626605,38.1413119307328,12.2791910254385,5.68713527154198,12.6482571894222,19.79,0.821632173755947,155.497979598665,1.39105988848191,40.99722992,32.0754717,5.007587253,10.6596464921797,2.7
27.9,42.6,44,1.26775051311801,2.56438648096529,685.25,1371.79,1002.18,3.93858570224292,27.7016080958826,7.98014035422734,20.8674043258163,285.88783499064,157.851261742808,219.593608545124,4.64004529825312,19.4505887601671,0.12562347476716,49.7927639191814,12.1633438966665,6.79902217421953,13.4588457093703,17.73,0.840499118758087,868.001664723723,0.807979243910979,35.52083333,31.08433735,7.989907485,10.7268322925085,4.8
43.4,46.3,43,1.89936701711522,7.07033096679455,989.87,1864.82,1394.1,8.34632372044687,26.8269127588797,8.2295108068304,29.9772015850327,272.128378929543,205.227152449402,237.658540443112,12.0162890902173,21.6714836542086,0.629603979097148,74.3488725031809,13.0591362506074,5.44380888290713,12.1480484522207,21.75,0.790024717792087,702.410978222548,1.07785359801489,54.81927711,50.70422535,4.647887324,10.136341773132,5.8
35.4,33.6,41.3,1.86197897576495,3.31637515211049,710.91,1435.14,1046.82,4.64972969944819,25.2783863315228,7.76134148541883,14.8288708389827,297.824795168799,176.999157724118,235.512588958118,6.83524446270496,20.0692653273755,0.0933045502932732,62.2237202006715,11.976411764025,7.44956193630598,13.33007739869,16.05,0.818796897599425,138.676105446669,1.13076269673377,45.4248366,46.68874172,9.212121212,9.77943844927229,4.3
41,49.7,47.2,2.21042611207022,4.84841639910292,971.84,1921.09,1410.14,5.75613284310771,30.888712381961,9.66406458367335,22.3660077905046,300.449157765648,195.31378053458,246.623092947329,10.2114947901055,20.2693936246705,0.938203004322991,106.639602271056,10.7410198839086,5.51292211934355,11.8080657736197,20.54,0.805826011240402,67.4250637841104,0.52999788000848,51.52173913,44.32989691,7.074973601,9.47261973527521,6.4
36.7,29.1,39.7,2.55859956771124,5.56018055311576,897.86,1948.5,1388,5.01993631852213,28.9159591485173,4.61118878601132,21.6449216405548,153.318561698379,57.3804909193038,103.919447460588,10.5370743368357,14.1170456996475,0.491028366163126,45.5272548295804,9.76881872004511,3.38427066995295,10.5546344013743,23.36,1.07396159460766,881.897058561528,5.14836727554792,37.16666667,33.06010929,9.670781893,9.77703690295921,5.7
40.6,48.2,50,1.6570915488331,2.47833736047946,767.61,1580.67,1141.1,2.92522396245963,17.5388245798654,6.9108670993032,20.8293655832064,187.451734747938,119.820161626327,152.981199860296,4.60611614236555,19.1409394366492,0.353965416825658,41.4554035524092,11.4657622344458,5.97643071897624,12.0128092588798,17.94,0.641861081570635,861.647676123357,1.75495877887519,38.80266075,40.74074074,5.68383659,9.21823719850359,3.8
35.3,35.9,51.3,1.82791787722101,3.71569200734851,740.89,1465.91,1070.58,4.57266069370609,17.9460296770659,10.5431900434935,17.1376269004,277.559720229769,149.467236522836,212.811176524172,7.16349363834341,20.3438199559118,0.283824238272826,51.476769336847,13.4149225629427,7.29929130834487,14.7384202421266,19.27,1.08627652761685,354.931379933213,2.45503260914718,33.7628866,27.69857434,5.309734513,12.8166838676498,4.7
37,43.9,41.1,1.39750592600227,4.08945686900958,872.94,1806.32,1288.44,7.97482196676713,25.8525323457265,6.64588427057865,21.6449216405548,89.431437798652,47.5173870505313,67.7512875450119,8.37197983986073,15.3549506186273,0.48204842223661,43.2879611370304,11.8433588352958,3.90497506982384,10.7586771848574,19.18,1.03019723460456,261.69183773093,8.77710347824737,37.85714286,32.99180328,8.039215686,6.11864530645324,6.1
26.8,39.6,51.1,1.37934934651005,3.11922049531101,717.37,1446,1050.27,3.28862784371574,14.8614418240603,7.714694091578,19.7137220427833,207.421595629199,95.2719412670931,151.225084921112,6.09151659026718,17.1404440483443,0.22018651892472,33.1905534070681,11.8264546568336,5.56018437736288,12.0119379980225,19.93,0.775350969004088,632.307894015423,2.55718540999269,41.03773585,41.71539961,6.469408225,10.7347961726295,3.4
46.4,57,52.5,3.6104459742592,7.76962985134191,979.67,1966.86,1435.92,5.85035410037976,52.6632560938911,9.28674830319427,25.3366651022574,260.563105032881,230.506877603695,244.879781905761,13.5943153850308,22.1522970421649,0.513701316016501,86.5182064399639,12.0194759464776,6.13879813479259,14.825060942921,20.95,1.00216294160058,187.60960887475,2.32935539781195,39.07496013,32.35294118,7.722385142,9.67940290038107,6.3
28.5,31.3,52.8,1.30454580883891,3.69416195238818,698.85,1391.07,1017.15,4.58664100713656,24.0386541558827,7.71578665279453,12.9707575316182,301.169991385649,128.123047508808,214.33143774794,7.33403156563038,16.7083204910014,0.186652996306374,44.4715101883829,11.8243773878951,5.76757027941121,12.9594995375569,17.64,0.773167827259607,97.9137476417957,1.35124933947309,47.87111623,41.77449168,9.239516702,10.7603687404952,4.5
26,36.3,41.6,1.55390633425162,4.15192007921491,860.16,1642.61,1217.98,7.4201330506616,36.3399603288766,5.86602919579529,21.6449216405548,79.2935631719648,53.5828168382543,65.9818266361894,7.82894274104974,15.0983866088931,0.432625904886792,78.7365807125661,12.1538639205073,3.76733562408247,12.9484661447812,23.86,1.17806369039411,555.893337965778,4.14074864735544,57.99522673,53.10344828,6.782945736,8.11053024539143,6.2
26.3,27.4,40.5,2.45610753714924,8.28874768047961,931.18,2010.06,1437.46,7.49689247980112,34.2952329626182,7.49171143887655,21.6449216405548,116.311104999184,64.3924433243199,90.8305516801985,13.2602711265777,14.4897876314614,0.592786560755468,53.0759557754805,11.6257142125086,3.03600577663409,14.5786370907365,23.93,1.41132547668133,702.47337264963,9.21763404995831,30.99173554,25.27881041,4.05643739,8.10812593662761,7.2
42,42.7,51.4,3.42420382165605,6.59363057324841,1310.32,2407.64,1814.97,3.95663876917646,24.757727947938,9.51551506492744,5.51321588505666,392.232886695935,284.319330975068,336.684646128299,8.55474917083797,21.3644966837911,0.432363335589142,84.8836386786447,12.249675160436,4.95859826705319,12.679180614059,21.53,0.848271569840258,361.234389513882,0.421407501053519,32.76450512,38.88888889,6.395348837,7.54258731903537,5.1
27.5,25.8,36.3,2.38609013196116,6.34215840871995,859.02,1988.26,1361.25,7.84906747317635,32.1186638635833,6.22992005649881,21.6449216405548,106.481408196767,87.4021003625185,96.599546144347,11.4576411008502,12.5802085559446,0.520668615638571,58.3975706610605,10.3432485297292,3.90695923654319,16.6884396519275,24.93,1.31865721112346,293.289535429376,5.02419284980633,32.64094955,22.2972973,4.306220096,11.9295380947588,5.8
